sku,mfgn,qty,qtynj,qtyfl,price,map,mrp
61803,G-34120SSC,0,0,0,36.13,,
61804,G-3520C,0,0,0,12.33,,
61805,G-3530C,0,0,0,12.33,,
61806,G-3550C,0,0,0,12.33,,
61807,G-3590C,2,0,2,12.33,,
61809,G-3620C,0,0,0,12.33,,
61810,G-3620SSC,2,0,2,31.45,,
61812,G-3630C,0,0,0,12.33,,
61813,112528,16,4,12,73.08,,
61814,G-3630SSC,2,0,2,31.45,,
61815,G-3640C,0,0,0,12.33,,
61816,G-3640SSC,2,0,2,31.45,,
61817,G-3650C,0,0,0,12.33,,
61818,G-3660C,3,2,1,12.33,,
61819,G-3660SSC,0,0,0,34.92,,
61820,G-3690C,0,0,0,12.33,,
61821,G-3690SSC,0,0,0,34.92,,
61822,G-6624C,0,0,0,12.33,,
61823,G-6624SSC,0,0,0,32.23,,
61833,G-3020C,3,2,1,12.33,,
61843,G-3020SSC,6,2,4,29.24,,
61847,LMJ-1,10,4,6,35.04,,
61850,MM3-VNA-026,0,0,0,227.27,,
61875,MCU004,0,0,0,355.56,,
61883,RA5204BK,0,0,0,96.15,,
61897,96-262-F,8,8,0,28.12,,
61915,LLB-48FW-82-00,0,0,0,21.32,,
61925,M265C-LH,0,0,0,1236.08,,
61928,P102983,0,0,0,406.20,,
61934,ES-5000-01,0,0,0,331.25,,
61942,B164-20-BL,0,0,0,917.61,,
61949,010-11425-05,0,0,0,24.49,,
61950,808-1802,5,3,2,100.80,,
61952,010-10718-01,21,3,18,10.99,,
61969,SA1200S,2,1,1,76.44,,
61970,010-11251-74,0,0,0,23.99,,
61973,010-11251-86,0,0,0,31.99,,
61974,010-11251-90,0,0,0,31.99,,
61975,010-11251-85,0,0,0,31.99,,
61985,010-12390-21,0,0,0,26.24,,
61986,010-12390-11,0,0,0,22.49,,
61987,131310,20,11,9,75.13,,
61988,A-5-WHITE,0,0,0,201.47,,
62005,741S-02037,0,0,0,233.30,,
62026,4018,0,0,0,517.68,,
62030,FNTCDEX06000A00,0,0,0,47.92,,
